"ID","site","sample_date","rep","day","num_gw_wells","dischage","doc","doc_k","doc_per_flow","doc_dec_flow","doc_dec_rel_flow","uva","arti_sub_resp","suva","tdp","tdn","don","don_per","dop","dop_per","dom_c_n_dom","dom_c_p_dom","dom_n_p","din_dip","nh4","no3","po4_ug_l","po4__mg_l","bromide_mg_l","sulfate_mg_l","per_so4_flow","cl_mg_l","per_cl_flow","calcium","na","k","per_k_flow","mg","so4_cl_mol_ratio","so4_mg_mol_ratio","mg_cl_mol_ratio","mg_k_mol_ratio","so4_k_mol_ratio","cl_k_mol_ratio","pco2","int450","int500","f1","unfil_cod","fil_cod","adj_unfil_cod","adj_fil_cod","pos_flowpath"
273,"Gila At Hywy85","2001-10-30 00:00:00","B",303.00000,22,,6,0,78,22,-2,0,,0,1,5.01000,1,14,0,1,10,848,88,7.42427,0.04200,4.27800,1330,1.33000,,433.00000,187,835.00000,253,184,598,16,89,79,1,4,0,8,32,56,,,,,,,,,
274,"Gila At Hywy85","2001-10-30 00:00:00","C",303.00000,22,,6,0,74,26,-2,0,,0,1,5.76000,1,25,0,5,4,213,48,7.38263,0.03600,4.26300,1331,1.33100,,432.00000,187,829.00000,251,182,633,16,89,80,1,4,0,8,32,56,,,,,,,,,45
275,"Hassayampa","2001-10-30 00:00:00","A",303.00000,22,,5,0,66,34,-2,0,0,0,2,9.34000,0,4,1,39,15,13,1,14.44339,0.05900,8.89500,1417,1.41700,,349.00000,151,511.00000,155,174,353,14,79,57,1,5,0,6,30,39,,,,,,,,,
276,"Hassayampa","2001-10-30 00:00:00","B",303.00000,22,,5,0,69,31,-2,0,0,0,2,9.46000,0,5,1,34,12,17,1,12.40263,0.05900,8.90500,1652,1.65200,,477.00000,206,509.00000,154,173,355,15,81,55,1,7,0,6,39,38,,,,,,,,,
277,"Hassayampa","2001-10-30 00:00:00","C",303.00000,22,1,5,0,68,32,-2,0,0,0,3,9.24000,0,3,1,46,21,10,0,14.35249,0.06300,8.91000,1429,1.42900,,358.00000,155,518.00000,157,174,368,14,78,54,1,5,0,6,31,40,,,,,,,,,48
278,"Gila At Arlington","2001-10-30 00:00:00","A",303.00000,22,,4,0,61,39,-3,0,0,0,2,7.62000,,,1,61,,10,,27.32428,0.01500,9.41700,789,0.78900,,778.00000,337,1141.00000,345,305,877,16,87,109,1,5,0,11,60,79,,,,,,,,,
279,"Gila At Arlington","2001-10-30 00:00:00","B",303.00000,22,,4,0,61,39,-3,0,0,0,2,10.46000,1,10,1,63,5,9,2,29.31623,0.01500,9.41200,735,0.73500,,790.00000,342,1095.00000,331,312,868,15,83,109,1,6,0,12,64,79,,,,,,,,,
280,"Gila At Arlington","2001-10-30 00:00:00","C",303.00000,22,,4,0,58,42,-3,0,0,0,1,12.14000,3,22,1,46,2,17,9,29.03658,0.01000,9.41600,742,0.74200,,785.00000,340,1093.00000,331,310,871,15,84,104,1,6,0,11,62,78,,,,,,,,,59
281,"Gila At Gillespie","2001-10-30 00:00:00","A",303.00000,22,,4,0,59,41,-3,0,0,0,2,8.54000,,,1,56,,11,,23.95568,0.03300,8.88600,851,0.85100,,752.00000,326,1072.00000,325,273,835,15,83,105,1,5,0,11,60,78,,,,,,,,,
282,"Gila At Gillespie","2001-10-30 00:00:00","B",303.00000,22,,4,0,59,41,-3,0,0,0,2,9.23000,0,3,1,55,17,11,1,23.60582,0.02800,8.89500,864,0.86400,,763.00000,330,1092.00000,331,279,878,15,84,101,1,6,0,11,61,78,,,,,,,,,
283,"Gila At Gillespie","2001-10-30 00:00:00","C",303.00000,22,3,4,0,58,42,-3,0,0,0,2,8.16000,,,1,51,,12,,24.08916,0.03000,8.88600,846,0.84600,,769.00000,333,1077.00000,326,289,887,16,85,102,1,6,0,11,61,77,,,,,,,,,67
284,"Gila At 115thAve","2001-12-17 00:00:00","A",351.00000,1,,7,0,100,0,0,0,0,0,1,7.30000,1,9,,,12,,,,2.21400,4.44400,83,,,236.00000,108,23.00000,105,89,249,19,100,41,,4,3,3,15,,,,,,,,,,
285,"Gila At 115thAve","2001-12-17 00:00:00","B",351.00000,1,,7,0,101,-1,0,0,0,0,2,7.50000,1,11,,,9,,,,2.23500,4.38800,29,,,176.00000,80,20.00000,91,95,248,18,98,42,,3,3,4,12,,,,,,,,,,
286,"Gila At 115thAve","2001-12-17 00:00:00","C",351.00000,1,8,7,0,100,0,0,0,0,0,2,7.80000,1,15,,,7,,,,2.26200,4.42200,57,,,245.00000,112,23.00000,105,98,254,19,102,43,,4,3,4,16,,,,,,,,,,5
287,"Buckeye Canal At Jackrabbit","2001-12-17 00:00:00","A",351.00000,1,,6,0,88,12,-1,0,,0,2,7.60000,1,19,,,5,,,,0.99400,5.17300,28,,,196.00000,90,32.00000,145,95,279,19,101,45,,3,2,4,13,,,,,,,,,,
288,"Buckeye Canal At Jackrabbit","2001-12-17 00:00:00","B",351.00000,1,,6,0,88,12,-1,0,,0,2,7.10000,1,13,,,7,,,,1.01500,5.14100,79,,,,0,25.00000,114,99,276,20,104,45,,0,3,4,0,,,,,,,,,,
289,"Buckeye Canal At Jackrabbit","2001-12-17 00:00:00","C",351.00000,1,8,6,0,89,11,-1,0,,0,2,7.20000,1,15,,,7,,,,0.99900,5.12400,77,,,190.00000,87,32.00000,145,91,273,18,96,42,,3,2,4,13,,,,,,,,,,20
290,"Buckeye Canal At Baseline","2001-12-17 00:00:00","A",351.00000,1,,6,0,85,15,-1,0,0,0,2,6.80000,1,10,,,9,,,,0.88500,5.21100,40,,,194.00000,89,22.00000,100,104,288,19,100,46,,3,3,4,13,,,,,,,,,,
291,"Buckeye Canal At Baseline","2001-12-17 00:00:00","B",351.00000,1,,6,0,86,14,-1,0,0,0,2,7.00000,1,13,,,7,,,,0.88700,5.22400,0,,,183.00000,84,0.70000,3,96,279,19,100,45,,3,94,4,12,,,,,,,,,,
292,"Buckeye Canal At Baseline","2001-12-17 00:00:00","C",351.00000,1,8,6,0,85,15,-1,0,0,0,,6.10000,0,0,,,487,,,,0.89400,5.15800,24,,,191.00000,87,44.00000,200,94,287,19,101,43,,3,1,4,12,,,,,,,,,,30
293,"Gila At Hywy85","2001-12-17 00:00:00","A",351.00000,1,,5,0,76,24,-2,0,,0,1,5.40000,1,19,,,6,,,,0.15700,4.18700,108,,,443.00000,202,26.00000,118,183,653,17,90,85,,4,5,8,32,,,,,,,,,,
294,"Gila At Hywy85","2001-12-17 00:00:00","B",351.00000,1,,5,0,76,24,-2,0,,0,2,5.40000,1,19,,,6,,,,0.16100,4.20600,86,,,701.00000,320,23.00000,105,169,646,17,88,82,,6,5,8,51,,,,,,,,,,
295,"Gila At Hywy85","2001-12-17 00:00:00","C",351.00000,1,,5,0,74,26,-2,0,,0,1,5.30000,1,18,,,6,,,,0.15300,4.19800,68,,,451.00000,206,28.00000,127,179,661,17,91,81,,4,4,8,32,,,,,,,,,,45
296,"Hassayampa","2001-12-17 00:00:00","A",351.00000,1,,6,0,82,18,-1,0,,0,2,6.10000,1,13,,,8,,,,0.52300,4.78200,75,,,204.00000,93,23.00000,105,133,310,19,101,47,,3,3,4,13,,,,,,,,,,
297,"Hassayampa","2001-12-17 00:00:00","B",351.00000,1,,6,0,83,17,-1,0,,0,1,6.30000,1,16,,,6,,,,0.51100,4.77700,71,,,194.00000,89,30.00000,136,115,311,19,100,47,,3,2,4,13,,,,,,,,,,
298,"Hassayampa","2001-12-17 00:00:00","C",351.00000,1,4,6,0,83,17,-1,0,,0,2,6.90000,2,23,,,4,,,,0.51400,4.76200,65,,,201.00000,92,26.00000,118,99,311,19,100,47,,3,3,4,13,,,,,,,,,,48
299,"Gila At Arlington","2001-12-17 00:00:00","A",351.00000,1,,5,0,74,26,-2,0,0,0,2,8.50000,2,26,,,3,,,,0.24400,6.06400,50,,,445.00000,203,27.00000,123,165,543,18,94,70,,5,4,6,31,,,,,,,,,,
300,"Gila At Arlington","2001-12-17 00:00:00","B",351.00000,1,,5,0,74,26,-2,0,0,0,2,7.30000,1,14,,,6,,,,0.23500,5.99200,60,,,430.00000,196,23.00000,105,164,547,18,94,71,,5,4,6,30,,,,,,,,,,
301,"Gila At Arlington","2001-12-17 00:00:00","C",351.00000,1,,5,0,74,26,-2,0,0,0,1,7.40000,1,15,,,5,,,,0.24000,6.01400,58,,,450.00000,205,55.00000,250,181,519,17,88,69,,5,2,7,33,,,,,,,,,,59
302,"Gila At Gillespie","2001-12-17 00:00:00","A",351.00000,1,,5,0,74,26,-2,0,,0,2,8.10000,1,16,,,5,,,,0.19600,6.64500,30,,,486.00000,222,25.00000,114,172,583,16,86,71,,5,4,7,37,,,,,,,,,,
303,"Gila At Gillespie","2001-12-17 00:00:00","B",351.00000,1,,5,0,74,26,-2,0,,0,2,8.00000,1,15,,,5,,,,0.19400,6.65500,0,,,489.00000,223,0.90000,4,173,573,17,88,76,,5,123,7,36,,,,,,,,,,
304,"Gila At Gillespie","2001-12-17 00:00:00","C",351.00000,1,4,5,0,74,26,-2,0,,0,2,8.00000,1,15,,,5,,,,0.19200,6.54800,74,,,487.00000,222,32.00000,145,177,590,17,91,77,,5,4,7,35,,,,,,,,,,67
