"ID","site","sample_date","rep","day","num_gw_wells","dischage","doc","doc_k","doc_per_flow","doc_dec_flow","doc_dec_rel_flow","uva","arti_sub_resp","suva","tdp","tdn","don","don_per","dop","dop_per","dom_c_n_dom","dom_c_p_dom","dom_n_p","din_dip","nh4","no3","po4_ug_l","po4__mg_l","bromide_mg_l","sulfate_mg_l","per_so4_flow","cl_mg_l","per_cl_flow","calcium","na","k","per_k_flow","mg","so4_cl_mol_ratio","so4_mg_mol_ratio","mg_cl_mol_ratio","mg_k_mol_ratio","so4_k_mol_ratio","cl_k_mol_ratio","pco2","int450","int500","f1","unfil_cod","fil_cod","adj_unfil_cod","adj_fil_cod","pos_flowpath"
216,"Gila At Arlington","2001-06-12 00:00:00","B",163.00000,35,,5,,49,51,-5,0,0,0,0,14.05000,1,5,,,8,,,172.77689,0.00400,13.45100,178,0.17800,,827.00000,401,977.00000,286,,,,,,,,,,,,,213,132,2,,,,,
217,"Gila At Arlington","2001-06-12 00:00:00","C",163.00000,35,,5,,49,51,-5,0,0,0,0,14.47500,1,8,0,21,5,615,125,161.02128,0.01000,13.23400,188,0.18800,,818.00000,397,969.00000,284,,,,,,,,,,,,,,,,,,,,59
218,"Gila At Gillespie","2001-06-12 00:00:00","A",163.00000,35,,5,,49,51,-5,0,0,0,0,10.61300,1,10,0,95,5,41,8,1466.20952,0.02300,9.59900,15,0.01500,,1006.00000,488,1134.00000,332,,,,,,,,,,,,,235,150,2,,,,,
219,"Gila At Gillespie","2001-06-12 00:00:00","B",163.00000,35,,5,,49,51,-5,0,0,0,0,10.58600,1,9,0,95,5,40,7,1467.73333,0.02400,9.60800,15,0.01500,,999.00000,485,1135.00000,332,,,,,,,,,,,,,248,157,2,,,,,
220,"Gila At Gillespie","2001-06-12 00:00:00","C",163.00000,35,1,5,,49,51,-5,0,0,0,0,10.30200,1,7,0,96,8,38,5,1677.36264,0.00900,9.53100,13,0.01300,,979.00000,475,1140.00000,334,,,,,,,,,,,,,,,,,,,,67
221,"Gila At 115thAve","2001-07-31 00:00:00","A",212.00000,32,,8,0,100,0,0,0,0,0,3,6.63000,0,5,1,33,27,19,1,6.38961,4.37300,1.90000,2244,2.24400,,236.00000,100,479.00000,100,99,341,20,99,37,1,5,0,3,14,26,,606,322,2,,,,,
222,"Gila At 115thAve","2001-07-31 00:00:00","B",212.00000,32,,8,0,99,1,0,0,0,0,3,6.43000,0,3,1,33,58,19,0,6.36538,4.34400,1.90800,2245,2.24500,,235.00000,100,477.00000,100,99,352,21,102,38,1,5,0,3,14,25,,575,310,2,,,,,
223,"Gila At 115thAve","2001-07-31 00:00:00","C",212.00000,32,8,8,0,101,-1,0,0,0,0,3,6.37000,0,2,1,34,94,19,0,6.38961,4.36900,1.90400,2244,2.24400,,235.00000,100,475.00000,100,95,351,20,100,37,1,5,0,3,14,26,,,,,,,,,5
224,"Buckeye Canal At Jackrabbit","2001-07-31 00:00:00","A",212.00000,32,,5,0,61,39,-3,0,0,0,2,8.40000,0,4,1,35,19,22,1,16.83816,0.53400,7.56200,1099,1.09900,,458.00000,195,753.00000,158,181,536,14,66,72,1,5,0,9,41,61,,304,170,2,,,,,
225,"Buckeye Canal At Jackrabbit","2001-07-31 00:00:00","B",212.00000,32,,5,0,60,40,-3,0,0,0,2,8.12000,0,0,1,35,165,22,0,16.67397,0.52600,7.56400,1109,1.10900,,,0,760.00000,159,178,530,14,69,72,0,,0,8,,59,,301,169,2,,,,,
226,"Buckeye Canal At Jackrabbit","2001-07-31 00:00:00","C",212.00000,32,8,5,0,60,40,-3,0,0,0,2,8.18000,0,1,1,35,61,21,0,16.59869,0.52900,7.53900,1111,1.11100,,,0,759.00000,159,172,522,14,68,64,,,0,7,,60,,,,,,,,,20
227,"Buckeye Canal At Baseline","2001-07-31 00:00:00","A",212.00000,32,,4,0,48,52,-4,0,0,0,1,11.27000,0,3,0,31,15,29,2,32.13428,0.31500,10.69300,783,0.78300,,786.00000,334,814.00000,171,196,599,13,61,79,1,8,0,10,76,71,,236,123,2,,,,,
228,"Buckeye Canal At Baseline","2001-07-31 00:00:00","B",212.00000,32,,4,0,48,52,-4,0,0,0,1,11.11000,0,1,0,28,29,34,1,31.98248,0.32800,10.62800,783,0.78300,,798.00000,339,813.00000,170,190,620,13,64,83,1,7,0,10,74,68,,236,132,2,,,,,
229,"Buckeye Canal At Baseline","2001-07-31 00:00:00","C",212.00000,32,7,4,0,48,52,-4,,0,,1,11.10000,0,1,0,31,31,29,1,31.70591,0.32200,10.56700,785,0.78500,,808.00000,343,810.00000,170,199,616,14,66,79,1,8,0,9,73,66,,,,,,,,,30
230,"Gila At Hywy85","2001-07-31 00:00:00","A",212.00000,32,,5,0,65,35,-3,0,,0,0,5.72000,0,7,,,15,,,41.22867,0.01400,5.27100,293,0.29300,,878.00000,373,1080.00000,226,216,813,15,73,97,1,7,0,10,72,80,,322,200,2,,,,,
231,"Gila At Hywy85","2001-07-31 00:00:00","B",212.00000,32,,5,0,65,35,-3,0,,0,0,5.49000,0,4,,,32,,,41.48061,0.01400,5.26700,291,0.29100,,915.00000,389,1087.00000,228,231,800,15,75,94,1,7,0,10,73,78,,305,193,2,,,,,
232,"Gila At Hywy85","2001-07-31 00:00:00","C",212.00000,32,,5,0,65,35,-3,0,,,0,5.48000,0,3,,,34,,,41.29057,0.01700,5.29400,294,0.29400,,912.00000,388,1091.00000,229,229,838,16,78,98,1,7,0,10,70,76,,,,,,,,,45
233,"Hassayampa","2001-07-31 00:00:00","A",212.00000,32,,4,0,46,54,-4,0,0,0,1,14.33000,0,3,0,32,10,37,4,57.73622,0.19100,13.62600,547,0.54700,,671.00000,285,832.00000,174,206,690,12,58,81,1,6,0,11,69,77,,196,113,2,,,,,
234,"Hassayampa","2001-07-31 00:00:00","B",212.00000,32,,4,0,43,57,-5,0,0,0,1,14.06000,0,1,0,33,23,35,1,57.99791,0.18600,13.71900,548,0.54800,,678.00000,288,841.00000,176,205,676,12,58,78,1,7,0,11,70,78,,198,114,2,,,,,
235,"Hassayampa","2001-07-31 00:00:00","C",212.00000,32,2,4,0,42,58,-5,0,0,0,1,14.11000,0,2,0,32,18,35,2,58.17080,0.19600,13.72500,547,0.54700,,670.00000,285,833.00000,175,212,715,13,61,84,1,6,0,11,65,73,,,,,,,,,48
