"photo_id","site_id","digital_file_name","date","path_to_photo","negative_no","notes","copies","author","credits","year"
378,"58","5819497c","July,1949","/projectResults/GE5/Site58/5819497c.bmp","43/27","PAN3/3","2","","contact William L. Graf about authorship",1949
379,"58","58194907","July,1949","/projectResults/GE5/Site58/58194907.BMP","43/24+","","2","","contact William L. Graf about authorship",1949
380,"58","58198012","Dec,1980","/projectResults/GE5/Site58/58198012.BMP","41/1-2","","1","William L. Graf","",1980
381,"58","5819800a","Dec,1980","/projectResults/GE5/Site58/5819800a.bmp","41/3","","1","William L. Graf","",1980
382,"58","58199904","April,1999","/projectResults/GE5/Site58/58199904.BMP","11B/1","","1","William L. Graf","",1999
383,"58","5819994a","Dec,1980","/projectResults/GE5/Site58/5819994A.BMP","11B/2","","1","William L. Graf","",1980
384,"58","5819994b","Dec,1980","/projectResults/GE5/Site58/5819994B.BMP","11B/3","","1","William L. Graf","",1980
385,"58","5819994c","Dec,1980","","11B/4","","1","William L. Graf","",1980
386,"58","5819994d","Dec,1980","/projectResults/GE5/Site58/5819994D.BMP","11B/5","","1","William L. Graf","",1980
387,"58","5819994e","Dec,1980","/projectResults/GE5/Site58/5819994E.BMP","11B/6","","1","William L. Graf","",1980
388,"59","59193803","March,1938","/projectResults/GE5/Site59/59193803.BMP","","","1","","contact William L. Graf about authorship",1938
389,"59","59198001","Jan,1980","/projectResults/GE5/Site59/59198001.BMP","31/31","","1","William L. Graf","",1980
390,"59","59199903","March,1999","/projectResults/GE5/Site59/59199903.bmp","8/5","","1","William L. Graf","",1999
391,"59","5919993a","March,1999","/projectResults/GE5/Site59/5919993a.bmp","8/6","","1","William L. Graf","",1999
392,"60","60190500","1905","","","","","","contact William L. Graf about authorship",1905
393,"60","6019497a","July,1949","","32/14+","PAN1/2","2","","contact William L. Graf about authorship",1949
394,"60","6019497b","July,1949","","32/15","PAN2/2","2","","contact William L. Graf about authorship",1949
395,"60","6019801a","Jan,1980","/projectResults/GE5/Site60/6019801A.BMP","31/5+","PAN1/2","1","William L. Graf","",1980
396,"60","6019801b","Jan,1980","/projectResults/GE5/Site60/6019801B.BMP","31/4","PAN2/2","1","William L. Graf","",1980
397,"60","6019802a","Feb,1980","","35/33+","PAN1/2","1","William L. Graf","",1980
398,"60","6019802b","Feb,1980","/projectResults/GE5/Site60/6019802B.BMP","35/32","PAN2/2","1","William L. Graf","",1980
399,"60","60199903","March,1999","/projectResults/GE5/Site60/60199903.bmp","8/7","","1","William L. Graf","",1999
400,"60","6019993a","March,1999","/projectResults/GE5/Site60/6019993a.bmp","8/8","","1","William L. Graf","",1999
401,"60","6019993b","March,1999","/projectResults/GE5/Site60/6019993b.bmp","8/9","","1","William L. Graf","",1999
402,"60","6019993c","March,1999","/projectResults/GE5/Site60/6019993c.bmp","8/10","","1","William L. Graf","",1999
403,"60","6019993d","March,1999","/projectResults/GE5/Site60/6019993d.bmp","8/11","","1","William L. Graf","",1999
404,"60","6019993e","March,1999","/projectResults/GE5/Site60/6019993e.bmp","8/12","","1","William L. Graf","",1999
405,"61","61194108","Aug,1941","","","","1","","contact William L. Graf about authorship",1941
406,"63","63194908","Aug,1949","/projectResults/GE5/Site63/63194908.BMP","34/9+","","2","","contact William L. Graf about authorship",1949
407,"63","63198012","Dec,1980","/projectResults/GE5/Site63/63198012.BMP","40/35+","","1","William L. Graf","",1980
408,"64","64194907","July,1949","/projectResults/GE5/Site64/64194907.BMP","","","1","","contact William L. Graf about authorship",1949
409,"64","64199903","March,1999","/projectResults/GE5/Site64/64199903.BMP","7A/3","","1","William L. Graf","",1999
410,"64","6419993a","March,1999","/projectResults/GE5/Site64/6419993A.BMP","7A/4","","1","William L. Graf","",1999
411,"64","6419993b","March,1999","/projectResults/GE5/Site64/6419993B.BMP","7A/5","","1","William L. Graf","",1999
412,"65","65194907","July,1949","/projectResults/GE5/Site65/65194907.BMP","","","1","","contact William L. Graf about authorship",1949
413,"65","65199903","March,1999","/projectResults/GE5/Site65/65199903.BMP","7A/8","","1","William L. Graf","",1999
414,"65","6519993a","March,1999","","7A/9","","1","William L. Graf","",1999
415,"66","66194912","Dec,1949","/projectResults/GE5/Site66/66194912.BMP","","","1","","contact William L. Graf about authorship",1949
416,"66","66199903","March,1999","/projectResults/GE5/Site66/66199903.BMP","7/11","","1","William L. Graf","",1999
417,"66","6619993a","March,1999","/projectResults/GE5/Site66/6619993A.BMP","7/12","","1","William L. Graf","",1999
418,"67","67190500","1905","/projectResults/GE5/Site67/67190500.BMP","35/23","","1","","contact William L. Graf about authorship",1905
419,"67","67198000","1980","/projectResults/GE5/Site67/67198000.bmp","35/22","","1","William L. Graf","",1980
420,"67","67199903","March,1999","/projectResults/GE5/Site67/67199903.BMP","7A/16","","1","William L. Graf","",1999
